seguridad.fecha_hecho;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.conducta_especial;seguridad.arma_medio;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.color
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Celular;Tecnología;Negro
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Plata
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Elementos escolares;Elementos escolares;Negro
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Oro
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Plata
05/01/2017 21:20;628.071.258;-7.557.456.728;Mujer;44;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;No;No;Córdoba;#0709;7;Bus de servicio público;Castilla;Celular;Tecnología;Sin dato
05/01/2017 21:20;628.071.258;-7.557.456.728;Mujer;44;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;No;No;Córdoba;#0709;7;Bus de servicio público;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
06/01/2017 17:15;623.060.064;-7.557.500.448;Hombre;30;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Celular;Tecnología;Negro
06/01/2017 13:00;625.705.178;-7.556.632.157;Hombre;35;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Jesús Nazareno;#1003;10;Estación del Metro;Candelaria;Celular;Tecnología;Negro
07/01/2017 15:50;623.125.657;-7.560.099.509;Mujer;22;Casado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Objeto contundente;Belén;#1603;16;Bus de servicio público;Belén;Celular;Tecnología;Sin dato
07/01/2017 15:50;623.125.657;-7.560.099.509;Mujer;22;Casado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Objeto contundente;Belén;#1603;16;Bus de servicio público;Belén;Accesorios prendas de vestir;Prendas de vestir y accesorios;Sin dato
07/01/2017 16:40;625.265.169;-7.556.854.036;Mujer;50;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
08/01/2017 16:00;628.388.665;-7.558.346.953;Mujer;33;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Escopolamina;López de Mesa;#0710;7;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
08/01/2017 23:20;624.175.126;-7.555.137.958;Hombre;39;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Barrio Caycedo;#0906;9;Vía pública;Buenos Aires;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
08/01/2017 20:30;625.445.399;-7.556.931.493;Hombre;62;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma cortopunzante;Estación Villa;#1005;10;Vía pública;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
09/01/2017 16:00;630.020.091;-7.555.223.513;Hombre;56;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;A taxista;Arma cortopunzante;La Francia;#0205;2;Vía pública;Santa Cruz;Celular;Tecnología;Sin dato
10/01/2017 16:00;623.050.465;-7.557.530.489;Mujer;36;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Cédula;Documentos;Sin dato
10/01/2017 11:20;622.123.628;-7.558.024.015;Mujer;32;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma de fuego;Santa Fé;#1504;15;Vía pública;Belén;Celular;Tecnología;Blanco
10/01/2017 10:30;625.325.359;-7.558.292.236;Mujer;29;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Suramericana;#1102;11;Estación del Metro;Laureles;Celular;Tecnología;Sin dato
10/01/2017 16:00;623.050.465;-7.557.530.489;Mujer;36;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
11/01/2017 9:30;625.721.029;-7.556.680.765;Hombre;52;Unión marital de hecho;Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Jesús Nazareno;#1003;10;Bus de servicio público;Candelaria;Celular;Tecnología;Sin dato
12/01/2017 16:00;621.307.357;-7.557.763.123;Hombre;22;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Patio Bonito;#1421;14;Estación del Metro;Poblado;Celular;Tecnología;Sin dato
12/01/2017 12:00;623.794.909;-7.560.840.335;Hombre;34;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;Sin dato;No;La Castellana;#1110;11;Vía pública;Laureles;Computador;Tecnología;Sin dato
14/01/2017 14:30;630.003.749;-7.555.846.852;Mujer;35;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Héctor Abad Gómez;#0507;5;Estación del Metro;Castilla;Accesorios prendas de vestir;Prendas de vestir y accesorios;Sin dato
14/01/2017 14:30;630.003.749;-7.555.846.852;Mujer;35;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Héctor Abad Gómez;#0507;5;Estación del Metro;Castilla;Cédula;Documentos;Amarillo
14/01/2017 14:15;625.088.062;-7.556.738.164;Mujer;46;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
14/01/2017 16:10;626.419.053;-7.556.744.849;Mujer;36;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Raponazo;De celular;No;Jesús Nazareno;#1003;10;Vía pública;Candelaria;Celular;Tecnología;Gris
14/01/2017 16:50;628.168.038;-7.560.442.831;Mujer;33;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;Sin dato;No;Cucaracho;#0718;7;Vía pública;Castilla;Computador;Tecnología;Sin dato
16/01/2017 6:30;619.756.867;-7.559.001.412;Mujer;49;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;La Colina;#1511;15;Bus de servicio público;Belén;Cédula;Documentos;Sin dato
16/01/2017 6:30;619.756.867;-7.559.001.412;Mujer;49;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;La Colina;#1511;15;Bus de servicio público;Belén;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
17/01/2017 23:00;620.922.971;-7.556.816.217;Hombre;25;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;No;No;El Poblado;#1418;14;Vía pública;Poblado;Computador;Tecnología;Negro
17/01/2017 6:10;630.020.948;-7.555.869.129;Hombre;27;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Héctor Abad Gómez;#0507;5;Estación del Metro;Castilla;Celular;Tecnología;Sin dato
18/01/2017 19:00;624.458.821;-7.559.471.335;Hombre;59;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma cortopunzante;Laureles;#1108;11;Vía pública;Laureles;Celular;Tecnología;Sin dato
18/01/2017 2:00;629.630.109;-7.558.611.956;Hombre;25;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;A taxista;Arma de fuego;Picacho;#0608;6;Bus de servicio público;Doce de Octubre;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
18/01/2017 19:30;625.474.158;-7.557.832.939;Mujer;26;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Raponazo;No;No;Carlos E. Restrepo;#1101;11;Vía pública;Laureles;Celular;Tecnología;Oro
18/01/2017 7:30;629.992.462;-7.555.633.598;Mujer;36;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;La Francia;#0205;2;Vía pública;Santa Cruz;Billetera;Prendas de vestir y accesorios;Sin dato
19/01/2017 9:00;621.124.247;-7.557.004.776;Hombre;45;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma de fuego;El Poblado;#1418;14;Vía pública;Poblado;Celular;Tecnología;Sin dato
19/01/2017 16:30;621.300.233;-7.557.784.762;Mujer;45;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Patio Bonito;#1421;14;Estación del Metro;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
19/01/2017 16:30;621.300.233;-7.557.784.762;Mujer;45;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Patio Bonito;#1421;14;Estación del Metro;Poblado;Celular;Tecnología;Sin dato
20/01/2017 9:00;625.035.004;-7.556.047.228;Mujer;58;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Boston;#1016;10;Vehículo particular;Candelaria;Cédula;Documentos;Sin dato
20/01/2017 19:45;628.790.303;-7.557.021.406;Mujer;28;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma de fuego;Castilla;#0511;5;Vía pública;Castilla;Celular;Tecnología;Sin dato
20/01/2017 9:00;625.035.004;-7.556.047.228;Mujer;58;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Boston;#1016;10;Vehículo particular;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
21/01/2017 14:25;624.278.046;-7.555.483.427;Hombre;32;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma de fuego;Barrio Caycedo;#0906;9;Vía pública;Buenos Aires;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
21/01/2017 14:25;624.278.046;-7.555.483.427;Hombre;32;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma de fuego;Barrio Caycedo;#0906;9;Vía pública;Buenos Aires;Celular;Tecnología;Sin dato
21/01/2017 15:00;624.975.546;-7.559.122.648;Mujer;34;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma de fuego;Florida Nueva;#1117;11;Vía pública;Laureles;Celular;Tecnología;Blanco
22/01/2017 19:30;624.432.158;-7.556.980.904;Mujer;24;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma cortopunzante;Barrio Colón;#1013;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
22/01/2017 19:00;624.986.211;-755.687.603;Hombre;34;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
23/01/2017 15:10;622.961.942;-7.557.562.675;Hombre;28;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Celular;Tecnología;Negro
23/01/2017 17:30;625.236.573;-7.556.767.535;Mujer;31;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Raponazo;De celular;No;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
23/01/2017 15:10;622.961.942;-7.557.562.675;Hombre;28;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
23/01/2017 8:47;625.451.044;-7.557.460.845;Hombre;27;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;San Benito;#1006;10;Bus de servicio público;Candelaria;Celular;Tecnología;Sin dato
24/01/2017 7:30;625.870.871;-7.559.795.346;Hombre;65;Divorciado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Calasanz;#1202;12;Estación del Metro;Laureles;Celular;Tecnología;Negro
25/01/2017 17:30;61.940.115;-7.558.174.078;Hombre;37;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Santa María de los Ángeles;#1423;14;Estación del Metro;Poblado;Celular;Tecnología;Sin dato
25/01/2017 23:00;627.323.942;-7.555.398.133;Hombre;42;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Campo Valdés No.2;#0303;3;Estación del Metro plus;Manrique;Celular;Tecnología;Sin dato
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Negro
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Oro
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Verde
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Elementos escolares;Elementos escolares;Negro
26/01/2017 16:05;620.385.653;-7.557.175.798;Hombre;42;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;Patio Bonito;#1421;14;Vía pública;Poblado;Elementos escolares;Elementos escolares;Negro
26/01/2017 14:20;621.225.572;-7.557.771.947;Mujer;44;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Patio Bonito;#1421;14;Vía pública;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
26/01/2017 14:20;621.225.572;-7.557.771.947;Mujer;44;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Patio Bonito;#1421;14;Vía pública;Poblado;Billetera;Prendas de vestir y accesorios;Sin dato
26/01/2017 18:00;624.736.529;-7.556.974.457;Hombre;42;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;La Candelaria;#1019;10;Estación del Metro;Candelaria;Celular;Tecnología;Sin dato
26/01/2017 15:30;628.719.474;-7.557.472.684;Mujer;21;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;Sin dato;No;Francisco Antonio Zea;#0513;5;Vía pública;Castilla;Celular;Tecnología;Sin dato
26/01/2017 6:30;624.905.753;-7.556.336.926;Hombre;38;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Atraco;A bus de servicio público;Arma de fuego;La Candelaria;#1019;10;Bus de servicio público;Candelaria;Autopartes;Autoparte y elementos de la mecánica automotriz;Sin dato
27/01/2017 16:00;624.732.915;-7.556.996.193;Hombre;39;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Guayaquil;#1007;10;Estación del Metro;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
27/01/2017 15:30;626.588.021;-7.558.691.349;Mujer;41;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;San Germán;#0703;7;Vía pública;Castilla;Celular;Tecnología;Blanco
27/01/2017 15:00;624.614.554;-7.556.546.551;Hombre;55;Unión marital de hecho;Autobus;Sin dato;Sin dato;Hurto a persona;Raponazo;No;No;La Candelaria;#1019;10;Metro Plus;Candelaria;Celular;Tecnología;Negro
27/01/2017 16:00;624.732.915;-7.556.996.193;Hombre;39;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Guayaquil;#1007;10;Estación del Metro;Candelaria;Billetera;Prendas de vestir y accesorios;Sin dato
28/01/2017 20:30;625.783.952;-7.558.467.116;Hombre;51;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma cortopunzante;Carlos E. Restrepo;#1101;11;Vía pública;Laureles;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
28/01/2017 11:45;621.339.697;-7.557.760.529;Hombre;50;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Patio Bonito;#1421;14;Estación del Metro;Poblado;Celular;Tecnología;Sin dato
28/01/2017 18:00;624.657.459;-755.679.154;Mujer;21;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Barrio Colón;#1013;10;Bus de servicio público;Candelaria;Celular;Tecnología;Sin dato
28/01/2017 14:40;624.402.797;-7.556.868.623;Mujer;30;Casado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Raponazo;Sin dato;No;Barrio Colón;#1013;10;Vía pública;Candelaria;Celular;Tecnología;Sin dato
29/01/2017 0:00;625.628.244;-7.555.845.525;Hombre;19;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Fleteo;Arma de fuego;San Miguel;#0803;8;Vía pública;Villa Hermosa;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
30/01/2017 16:00;622.899.015;-7.557.461.824;Mujer;54;Unión marital de hecho;Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Barrio Colombia;#1401;14;Bus de servicio público;Poblado;Cédula;Documentos;Sin dato
30/01/2017 16:00;622.899.015;-7.557.461.824;Mujer;54;Unión marital de hecho;Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Barrio Colombia;#1401;14;Bus de servicio público;Poblado;Billetera;Prendas de vestir y accesorios;Sin dato
30/01/2017 16:00;624.729.182;-7.556.988.683;Hombre;32;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Guayaquil;#1007;10;Estación del Metro;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
30/01/2017 8:00;629.041.635;-7.556.989.772;Mujer;57;Divorciado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Castilla;#0511;5;Bus de servicio público;Castilla;Billetera;Prendas de vestir y accesorios;Sin dato
30/01/2017 18:00;621.326.368;-7.557.760.889;Mujer;49;Casado(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;De celular;No;Patio Bonito;#1421;14;Estación del Metro;Poblado;Celular;Tecnología;Sin dato
30/01/2017 16:00;628.534.367;-7.558.675.097;Hombre;24;Divorciado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;El Diamante;#0711;7;Bus de servicio público;Castilla;Cédula;Documentos;Sin dato
30/01/2017 16:00;628.534.367;-7.558.675.097;Hombre;24;Divorciado(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;El Diamante;#0711;7;Bus de servicio público;Castilla;Billetera;Prendas de vestir y accesorios;Sin dato
30/01/2017 16:00;624.729.182;-7.556.988.683;Hombre;32;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Guayaquil;#1007;10;Estación del Metro;Candelaria;Cédula;Documentos;Sin dato
31/01/2017 12:13;62.871.352;-7.557.026.234;Hombre;26;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Fleteo;Arma de fuego;Castilla;#0511;5;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
31/01/2017 6:00;625.873.537;-7.556.516.614;Mujer;24;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Prado;#1001;10;Bus de servicio público;Candelaria;Cédula;Documentos;Sin dato
31/01/2017 6:00;625.873.537;-7.556.516.614;Mujer;24;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Prado;#1001;10;Bus de servicio público;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
31/01/2017 16:00;627.804.913;-7.556.957.569;Hombre;58;Viudo(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Terminal de Transporte;#Inst_4;5;Estación del Metro;Castilla;Cédula;Documentos;Sin dato
31/01/2017 9:25;627.818.777;-7.556.981.172;Mujer;19;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Terminal de Transporte;#Inst_4;5;Estación del Metro;Castilla;Cédula;Documentos;Sin dato
31/01/2017 19:10;627.268.486;-7.557.180.729;Mujer;38;Soltero(a);Autobus;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;No;Caribe;#0517;5;Bus de servicio público;Castilla;Celular;Tecnología;Negro
31/01/2017 16:00;627.804.913;-7.556.957.569;Hombre;58;Viudo(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Terminal de Transporte;#Inst_4;5;Estación del Metro;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
01/02/2017 17:40;623.059.531;-7.557.544.973;Mujer;35;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Cédula;Documentos;Sin dato
01/02/2017 17:40;623.059.531;-7.557.544.973;Mujer;35;Soltero(a);Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;No;No;Barrio Colombia;#1401;14;Estación del Metro;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
